2025-11-05 04:23:56 - DEBUG - RECV: Data seq=177000 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=178180 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=179360 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=178180 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=180540 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=178180 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=181720 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=178180 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=182900 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=178180 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=178180 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=184080 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Duplicate data seq=179360, SEND: ACK seq=184080
2025-11-05 04:23:56 - DEBUG - RECV: Duplicate data seq=180540, SEND: ACK seq=184080
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=184080 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=185260 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=185260 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=186440 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=186440 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=187620 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=187620 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=188800 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=188800 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=189980 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=189980 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=191160 (next expected)
