Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=238.000 ssthresh=inf last_max=1.000 ack=279660 acked=1180
[ACK_SLOW_START] cwnd=239.000 ssthresh=inf last_max=1.000 ack=280840 acked=1180
[ACK_SLOW_START] cwnd=240.000 ssthresh=inf last_max=1.000 ack=282020 acked=1180
[ACK_SLOW_START] cwnd=241.000 ssthresh=inf last_max=1.000 ack=283200 acked=1180
[ACK_SLOW_START] cwnd=242.000 ssthresh=inf last_max=1.000 ack=284380 acked=1180
[ACK_SLOW_START] cwnd=243.000 ssthresh=inf last_max=1.000 ack=285560 acked=1180
[ACK_SLOW_START] cwnd=244.000 ssthresh=inf last_max=1.000 ack=286740 acked=1180
[ACK_SLOW_START] cwnd=245.000 ssthresh=inf last_max=1.000 ack=287920 acked=1180
[ACK_SLOW_START] cwnd=246.000 ssthresh=inf last_max=1.000 ack=289100 acked=1180
[ACK_SLOW_START] cwnd=247.000 ssthresh=inf last_max=1.000 ack=290280 acked=1180
[ACK_SLOW_START] cwnd=248.000 ssthresh=inf last_max=1.000 ack=291460 acked=1180
[ACK_SLOW_START] cwnd=249.000 ssthresh=inf last_max=1.000 ack=292640 acked=1180
[ACK_SLOW_START] cwnd=250.000 ssthresh=inf last_max=1.000 ack=293820 acked=1180
[ACK_SLOW_START] cwnd=251.000 ssthresh=inf last_max=1.000 ack=295000 acked=1180
[ACK_SLOW_START] cwnd=252.000 ssthresh=inf last_max=1.000 ack=296180 acked=1180
[ACK_SLOW_START] cwnd=253.000 ssthresh=inf last_max=1.000 ack=297360 acked=1180
[ACK_SLOW_START] cwnd=254.000 ssthresh=inf last_max=1.000 ack=298540 acked=1180
[ACK_SLOW_START] cwnd=255.000 ssthresh=inf last_max=1.000 ack=299720 acked=1180
[ACK_SLOW_START] cwnd=256.000 ssthresh=inf last_max=1.000 ack=300900 acked=1180
[ACK_SLOW_START] cwnd=257.000 ssthresh=inf last_max=1.000 ack=302080 acked=1180
[ACK_SLOW_START] cwnd=258.000 ssthresh=inf last_max=1.000 ack=303260 acked=1180
[ACK_SLOW_START] cwnd=259.000 ssthresh=inf last_max=1.000 ack=304440 acked=1180
[ACK_SLOW_START] cwnd=260.000 ssthresh=inf last_max=1.000 ack=305620 acked=1180
[ACK_SLOW_START] cwnd=261.000 ssthresh=inf last_max=1.000 ack=306800 acked=1180
[ACK_SLOW_START] cwnd=262.000 ssthresh=inf last_max=1.000 ack=307980 acked=1180
[ACK_SLOW_START] cwnd=263.000 ssthresh=inf last_max=1.000 ack=309160 acked=1180
[ACK_SLOW_START] cwnd=264.000 ssthresh=inf last_max=1.000 ack=310340 acked=1180
[ACK_SLOW_START] cwnd=265.000 ssthresh=inf last_max=1.000 ack=311520 acked=1180
[ACK_SLOW_START] cwnd=266.000 ssthresh=inf last_max=1.000 ack=312700 acked=1180
[ACK_SLOW_START] cwnd=267.000 ssthresh=inf last_max=1.000 ack=313880 acked=1180
[ACK_SLOW_START] cwnd=268.000 ssthresh=inf last_max=1.000 ack=315060 acked=1180
[ACK_SLOW_START] cwnd=269.000 ssthresh=inf last_max=1.000 ack=316240 acked=1180
[ACK_SLOW_START] cwnd=270.000 ssthresh=inf last_max=1.000 ack=317420 acked=1180
[ACK_SLOW_START] cwnd=271.000 ssthresh=inf last_max=1.000 ack=318600 acked=1180
[ACK_SLOW_START] cwnd=272.000 ssthresh=inf last_max=1.000 ack=319780 acked=1180
[ACK_SLOW_START] cwnd=273.000 ssthresh=inf last_max=1.000 ack=320960 acked=1180
[ACK_SLOW_START] cwnd=274.000 ssthresh=inf last_max=1.000 ack=322140 acked=1180
[ACK_SLOW_START] cwnd=275.000 ssthresh=inf last_max=1.000 ack=323320 acked=1180
